0.840188    5.501266
0.394383    1.504522
0.783099    4.584946
0.798440    4.805005
0.911647    7.279258
0.197551    0.660262
0.335223    1.224910
0.768230    4.386024
0.277775    0.976254
0.553970    2.422107
0.477397    1.946800
0.628871    2.973616
0.364784    1.361373
0.513401    2.160944
0.952230    9.124055
0.916195    7.437790
0.635712    3.029429
0.717297    3.790074
0.141603    0.458064
0.606969    2.801599
0.016301    0.049305
0.242887    0.834727
0.137232    0.442827
0.804177    4.891629
0.156679    0.511223
0.400944    1.537203
0.129790    0.417064
0.108809    0.345589
0.998925    20.504959
0.218257    0.738687
0.512932    2.158057
0.839112    5.481145
0.612640    2.845201
0.296032    1.053066
0.637552    3.044625
0.524287    2.228823
0.493583    2.041184
0.972775    10.810861
0.292517    1.038124
0.771358    4.426789
0.526745    2.244363
0.769914    4.407904
0.400229    1.533620
0.891529    6.663830
0.283315    0.999356
0.352458    1.303716
0.807725    4.946478
0.919026    7.540899
0.069755    0.216923
0.949327    8.947091
0.525995    2.239614
0.086056    0.269957
0.192214    0.640374
0.663227    3.265038
0.890233    6.628175
0.348893    1.287244
0.064171    0.198969
0.020023    0.060679
0.457702    1.835817
0.063096    0.195523
0.238280    0.816529
0.970634    10.583767
0.902208    6.974740
0.850920    5.709812
0.266666    0.930461
0.539760    2.328024
0.375207    1.411005
0.760249    4.284460
0.512535    2.155613
0.667724    3.305366
0.531606    2.275339
0.039280    0.120218
0.437638    1.726826
0.931835    8.057475
0.930810    8.012688
0.720952    3.829118
0.284293    1.003455
0.738534    4.024357
0.639979    3.064777
0.354049    1.311093
0.687861    3.492924
0.165974    0.544473
0.440105    1.740016
0.880075    6.362672
0.829201    5.301805
0.330337    1.202943
0.228968    0.780077
0.893372    6.715239
0.350360    1.294012
0.686670    3.481494
0.956468    9.402794
0.588640    2.664861
0.657304    3.212735
0.858676    5.870107
0.439560    1.737099
0.923970    7.729874
0.398437    1.524670
0.814767    5.058421
0.684219    3.458115
0.910972    7.256414
0.482491    1.976183
0.215825    0.729369
0.950252    9.002378
0.920128    7.581999
0.147660    0.479309
0.881062    6.387463
0.641081    3.073972
0.431953    1.696656
0.619596    2.899568
0.281059    0.989930
0.786002    4.625367
0.307458    1.102159
0.447034    1.777374
0.226107    0.768964
0.187533    0.623040
0.276235    0.969864
0.556444    2.438792
0.416501    1.616139
0.169607    0.557569
0.906804    7.119149
0.103171    0.326671
0.126075    0.404283
0.495444    2.052230
